author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/307959254/;Москва;sale;flat;6;7;5;200.0;85000000;1954;-1;-1;-1;-1;-1;12 м²;+79660480820;Филевский парк;Барклая ;17;Багратионовская;
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/303869601/;Москва;sale;flat;3;17;3;97.5;85000000;2013;-1;-1;-1;-1;-1;-1;+79645665463;Замоскворечье;Мытная ;7с1;Серпуховская;Английский квартал
EXCLUSIVE CITY;real_estate_agent;https://www.cian.ru/sale/flat/301402981/;Москва;sale;flat;30;73;3;185.0;90000000;2009;-1;-1;-1;-1;-1;-1;+79850739781;Пресненский;набережная Пресненская;8с1;Деловой центр;Город Столиц
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308061938/;Москва;sale;flat;32;56;5;167.0;59900000;2014;-1;-1;-1;-1;100 м²;40 м²;+79169862459;Ростокино;проспект Мира;188Бк1;Ростокино;Триколор
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/302958205/;Москва;sale;flat;20;29;4;154.9;60900000;2020;-1;-1;-1;-1;-1;20 м²;+79851239069;Якиманка;Мытная ;40к3;Шаболовская;Sky House
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301263000/;Москва;sale;flat;2;21;3;122.0;77250000;2024;-1;-1;-1;Без отделки;90 м²;-1;+79623697268;Хорошево-Мневники; Нижние Мневники;9;Терехово ;Остров
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/305968630/;Москва;sale;flat;10;12;3;103.0;80000000;2020;-1;-1;-1;-1;-1;10 м²;+79057175933;Алексеевский;Новоалексеевская ;16К5;Алексеевская;Серебряный фонтан
Екатерина Трипольская;realtor;https://www.cian.ru/sale/flat/308952207/;Москва;sale;flat;2;6;4;162.0;96500000;2005;-1;-1;-1;-1;101 м²;13 м²;+79645387315;Покровское-Стрешнево;Береговая ;4К5;Стрешнево;Покровский берег
Метриум Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/271618813/;Москва;sale;flat;11;13;4;142.0;98500000;2016;-1;-1;-1;-1;80 м²;-1;+79660514073;Пресненский;Большая Садовая ;5к1;Маяковская;Квартал апартаментов Сады Пекина
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/305062348/;Москва;sale;flat;14;20;3;132.5;125000000;2012;-1;-1;-1;-1;-1;10 м²;+79067942859;Гагаринский; Косыгина;13к1;Воробьёвы горы;Фамильный дом Воробьево
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/304291404/;Москва;sale;flat;3;6;3;138.0;129500000;2005;-1;-1;-1;-1;-1;15 м²;+79684858420;Тверской;1-й Колобовский переулок;14;Трубная;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306392868/;Москва;sale;flat;3;14;3;115.8;130000000;-1;-1;-1;-1;-1;95,8 м²;15 м²;+79854726844;Хамовники; Усачева;15;Спортивная;Садовые кварталы
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/307477270/;Москва;sale;flat;5;5;3;92.4;75000000;2000;-1;-1;-1;-1;-1;-1;+79164309873;Пресненский;Мерзляковский переулок;13;Арбатская;
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/297731682/;Москва;sale;flat;2;12;3;97.4;77000000;2023;-1;-1;-1;-1;51 м²;24,8 м²;+79645504947;Раменки; Сергея Бондарчука;6;Мичуринский проспект;Река
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/303828250/;Москва;sale;flat;7;18;4;162.8;78000000;2005;-1;-1;-1;-1;-1;25 м²;+79660614383;Ломоносовский; Архитектора Власова;6;Профсоюзная;Вавилово
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305151277/;Москва;sale;flat;5;5;5;133.0;87000000;-1;-1;-1;-1;-1;109 м²;11 м²;+79623600619;Тверской;1-я Тверская-Ямская ;4;Маяковская;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307715589/;Москва;sale;flat;21;22;4;143.2;92550000;2023;-1;-1;-1;Чистовая;50,7 м²;16,3 м²;+79099734492;Хорошево-Мневники; Нижние Мневники;16к5;Терехово ;Остров
Romanov Estate;real_estate_agent;https://www.cian.ru/sale/flat/302463353/;Москва;sale;flat;51;56;2;139.0;114999999;2024;-1;-1;-1;Чистовая;77,3 м²;6,8 м²;+79636236030;Раменки;проспект Генерала Дорохова;вл1к3;Минская;Will Towers
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/307402392/;Москва;sale;flat;5;18;4;164.0;165000000;-1;-1;-1;-1;-1;131 м²;-1;+79660629770;Пресненский;Средний Тишинский переулок;5;Белорусская;Дом на Тишинке
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/294031984/;Москва;sale;flat;5;7;3;160.0;183000000;2019;-1;-1;-1;-1;-1;25 м²;+79057122519;Якиманка; Большая Полянка;44;Полянка;Полянка/44
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/301655618/;Москва;sale;flat;1;11;2;74.13;100000000;2024;-1;-1;-1;-1;-1;7 м²;+79850141998;Дорогомилово;;3к2;Парк Победы;Виктори Парк Резиденсез ЖК
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/308245695/;Москва;sale;flat;7;12;4;130.1;130000000;-1;-1;-1;-1;-1;-1;-1;+79060436238;Раменки; Сергея Бондарчука;6;Мичуринский проспект;Река
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/301173869/;Москва;sale;flat;4;46;3;90.2;64106527;2026;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, чистовая;45,7 м²;21,8 м²;+74951374925;Дорогомилово;Кутузовский проезд;16А/1;Фили;River Park Кутузовский
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/302645883/;Москва;sale;flat;13;14;4;130.0;68999999;2009;-1;-1;-1;-1;-1;-1;+79152664550;Филевский парк;Филевский бульвар;24к3;Фили;Ривер-Хаус
Life Style;real_estate_agent;https://www.cian.ru/sale/flat/305593868/;Москва;sale;flat;5;24;3;107.6;50000000;2001;-1;-1;-1;-1;71 м²;18 м²;+79660513769;Таганский;Марксистская ;7;Пролетарская;
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/299341036/;Москва;sale;flat;10;34;1;64.4;51000000;2023;-1;-1;-1;-1;41,7 м²;10 м²;+79653037353;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/307143307/;Москва;sale;flat;14;19;3;114.2;55000000;1999;-1;-1;-1;-1;35 м²;30 м²;+79660513122;Раменки;Мичуринский проспект;29;Раменки;
Павел Михайлов;realtor;https://www.cian.ru/sale/flat/308086094/;Москва;sale;flat;2;41;3;83.1;48545000;2021;-1;-1;-1;-1;-1;5,1 м²;+79645385768;Хорошевский;Ленинградский проспект;37/5;Аэропорт;Прайм Парк
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/304228468/;Москва;sale;flat;17;32;3;69.0;52000000;2023;-1;-1;-1;-1;54 м²;10 м²;+79623600837;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303790039/;Москва;sale;flat;23;30;3;98.5;52900000;-1;-1;-1;-1;-1;31 м²;40 м²;+79660504300;Можайский; Петра Алексеева;14;Давыдково;КутузовGRAD II
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/306835123/;Москва;sale;flat;4;8;5;117.0;58500000;1939;-1;-1;-1;-1;-1;10 м²;+79672086536;Пресненский;Большая Садовая ;3С1;Маяковская;
MERSI;real_estate_agent;https://www.cian.ru/sale/flat/308308758/;Москва;sale;flat;5;17;3;117.0;64350000;-1;-1;-1;-1;-1;-1;17 м²;+79652455850;Мещанский;Слесарный переулок;3;Проспект Мира;
Optima Development;developer;https://www.cian.ru/sale/flat/301041666/;Москва;sale;flat;30;41;3;84.4;64858046;2024;-1;Монолитный;-1;Предчистовая, чистовая;-1;5,3 м²;+74951387248;Хорошевский;Ленинградский проспект;37/2;Петровский Парк;Прайм Парк
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/304132374/;Москва;sale;flat;2;6;3;70.0;67500000;-1;-1;-1;-1;-1;45 м²;20 м²;+79168823171;Пресненский;Богословский переулок;7;Пушкинская;
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/297855440/;Москва;sale;flat;7;7;5;265.0;382500000;2016;-1;-1;-1;-1;-1;35 м²;+79057122519;Тверской; Большая Дмитровка;7/5С2;Театральная;Советник
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/302552275/;Москва;sale;flat;5;6;5;260.4;399000000;-1;-1;-1;-1;-1;113 м²;43 м²;+79660616431;Замоскворечье;Садовническая набережная;7;Новокузнецкая;BALCHUG VIEWPOINT
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/292247013/;Москва;sale;flat;5;6;4;280.0;500000000;2003;-1;-1;-1;-1;196 м²;40 м²;+79057122519;Хамовники;Бутиковский переулок;5;Парк Культуры;Бутиковский 5
ID 20963846;homeowner;https://www.cian.ru/sale/flat/307839187/;Москва;sale;flat;16;17;1;39.0;10950000;2002;-1;-1;-1;-1;18 м²;8 м²;+79898450821;Москворечье-Сабурово; Борисовские Пруды;21К2;Борисово;
Дмитрий Асташов;realtor;https://www.cian.ru/sale/flat/307964340/;Москва;sale;flat;6;9;3;58.7;21000000;-1;-1;-1;-1;-1;44 м²;6,4 м²;+79160162374;Академический;Большая Черемушкинская ;2К1;Крымская;
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/308410137/;Москва;sale;flat;14;41;2;48.0;31500000;2023;-1;-1;-1;-1;-1;-1;+79660613040;Раменки;1-й Сетуньский проезд;8;Кутузовская;Hide
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307098964/;Москва;sale;flat;7;48;1;55.5;33000000;2024;-1;-1;-1;Без отделки;27 м²;7,7 м²;+79854040807;Ростокино; Вильгельма Пика;3С1;Ботанический сад;Режиссёр
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/307315277/;Москва;sale;flat;17;17;3;89.6;22200000;2022;-1;-1;-1;-1;48,4 м²;20 м²;+79852880518;; Никитина;11к1;Рассказовка;
ID 17498307;homeowner;https://www.cian.ru/sale/flat/308837547/;Москва;sale;flat;5;10;1;40.4;28900000;-1;-1;-1;-1;-1;21,5 м²;8,2 м²;+79152640744;Дорогомилово;Кутузовский проспект;30;Кутузовская;
Isaev Estate;real_estate_agent;https://www.cian.ru/sale/flat/307294153/;Москва;sale;flat;4;9;3;67.0;37000000;1946;-1;-1;-1;-1;32,5 м²;20,3 м²;+79165289464;Дорогомилово;Кутузовский проспект;23К1;Москва-Сити;
ALVO Group;real_estate_agent;https://www.cian.ru/sale/flat/300347461/;Москва;sale;flat;15;17;4;115.0;37000000;1997;-1;-1;-1;-1;68 м²;11 м²;+79660563155;Тропарево-Никулино;Никулинская ;27;Озёрная;
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/302377814/;Москва;sale;flat;3;33;3;79.53;38500000;2025;-1;-1;-1;Без отделки;26,3 м²;16,9 м²;+79660619463;Пресненский;к2.3;к2.3;Белорусская;Репаблик ЖК
SKYEST;real_estate_agent;https://www.cian.ru/sale/flat/305064919/;Москва;sale;flat;39;40;3;58.0;38890000;2021;-1;-1;-1;-1;45 м²;10 м²;+79163704840;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307084095/;Москва;sale;flat;21;25;3;62.2;35000000;2018;-1;-1;-1;-1;-1;-1;+79060436264;Можайский;Рябиновая ;3к1;Рабочий посёлок;КутузовGRAD I
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306787848/;Москва;sale;flat;9;15;2;62.9;35500000;2022;-1;-1;-1;-1;31,3 м²;15,4 м²;+79660623833;Раменки;Винницкая ;8к4;Раменки;Настоящее
Century 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/307143151/;Москва;sale;flat;4;9;3;67.0;37000000;1946;-1;-1;-1;-1;32,3 м²;20,3 м²;+79672091419;Дорогомилово;Кутузовский проспект;23К1;Москва-Сити;
Основа;developer;https://www.cian.ru/sale/flat/286347130/;Москва;sale;flat;2;29;2;45.7;14893630;2025;-1;Монолитный;-1;Без отделки, предчистовая, черновая, чистовая;36,5 м²;4,2 м²;+74951377247;Черемушки; Наметкина;вл10;Новые Черёмушки;Nametkin Tower
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/303016403/;Москва;sale;flat;12;28;1;45.2;20500000;2024;-1;-1;-1;Без отделки;13,7 м²;16 м²;+79162779630;Даниловский;Автозаводская ;;ЗИЛ;Shagal
Центр-Инвест;developer;https://www.cian.ru/sale/flat/298334754/;Москва;sale;flat;24;35;2;44.2;22430929;2023;-1;-1;-1;Без отделки;28,5 м²;7 м²;+74951387027;Левобережный;Фестивальная ;15к24/3;Речной вокзал;Фестиваль парк-2
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/304329818/;Москва;sale;flat;2;5;4;179.2;185000000;-1;-1;-1;-1;-1;94,2 м²;19,4 м²;+79660638468;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/303212367/;Москва;sale;flat;3;7;5;280.0;195000000;2007;-1;-1;-1;-1;-1;60 м²;+79099066559;Басманный;Подсосенский переулок;3к1;Курская;Резиденция Чистые Пруды
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308385488/;Москва;sale;flat;7;7;5;260.0;197000000;1914;-1;-1;-1;-1;180 м²;10 м²;+79660584715;Хамовники; Остоженка;5;Кропоткинская;
Villagio Realty;real_estate_agent;https://www.cian.ru/sale/flat/307894766/;Москва;sale;flat;6;7;3;82.0;32000000;1954;-1;-1;-1;-1;53 м²;9 м²;+79153383587;Даниловский;2-й Автозаводский проезд;5;Автозаводская;
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/307716792/;Москва;sale;flat;22;22;3;93.5;33000000;2023;-1;-1;-1;-1;60 м²;25 м²;+79162779630;Хорошевский;1-я Магистральная ;25;Хорошёвская;Сити-комплекс Мята
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/298391944/;Москва;sale;flat;3;26;3;95.0;34000000;2023;-1;-1;-1;-1;-1;11,3 м²;+79857943691;Лефортово; Крузенштерна;12к3;Авиамоторная;Символ
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308089669/;Москва;sale;flat;4;6;3;75.0;71250000;1890;-1;-1;-1;-1;41,8 м²;14,3 м²;+79099114698;Хамовники;переулок Плотников;10;Смоленская;
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/307673870/;Москва;sale;flat;12;18;3;117.5;72000000;2017;-1;-1;-1;-1;-1;20 м²;+79623642914;Красносельский;Басманный переулок;5;Комсомольская;Басманный 5
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/307525684/;Москва;sale;flat;8;22;4;220.0;74900000;2011;-1;-1;-1;-1;-1;20 м²;+79637877048;Хорошево-Мневники;проспект Маршала Жукова;78к5;Бульвар Генерала Карбышева;Континенталь
TWEED;real_estate_agent;https://www.cian.ru/sale/flat/307461277/;Москва;sale;flat;24;51;3;82.1;32000000;-1;-1;-1;-1;-1;-1;-1;+79067436652;Пресненский;Шмитовский проезд;39к5;Шелепиха;Headliner
Optima Development;developer;https://www.cian.ru/sale/flat/301041605/;Москва;sale;flat;2;41;2;48.0;33762426;2024;-1;Монолитный;-1;Предчистовая, чистовая;-1;-1;+74951387248;Хорошевский;Ленинградский проспект;37/2;Петровский Парк;Прайм Парк
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/308099078/;Москва;sale;flat;21;21;4;106.0;70000000;2019;-1;-1;-1;-1;-1;10 м²;+79660480820;Лефортово;проезд Невельского;3к2;Авиамоторная;Символ
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308017227/;Москва;sale;flat;3;24;2;78.0;46900000;-1;-1;-1;-1;-1;50 м²;18 м²;+79660644148;Раменки;Мичуринский проспект;7;Ломоносовский проспект;Квартал Шуваловский
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308709765/;Москва;sale;flat;48;50;4;98.5;47280000;2021;-1;-1;-1;Без отделки;55,9 м²;10 м²;+79175836297;Раменки; Лобачевского;118Ас14;Аминьевская;Событие
Константин Краснюков;realtor;https://www.cian.ru/sale/flat/307874387/;Москва;sale;flat;5;33;2;44.9;29500000;2023;-1;-1;-1;-1;32,9 м²;4 м²;+79192803610;Хорошево-Мневники;Причальный проезд;10к1;Шелепиха;Level Причальный
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/304544588/;Москва;sale;flat;10;32;2;34.0;30000000;2023;-1;-1;-1;-1;23,1 м²;3,1 м²;+79645664310;Хорошево-Мневники;Причальный проезд;10к1;Шелепиха;Level Причальный
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306261351/;Москва;sale;flat;8;29;3;63.2;27900000;-1;-1;-1;-1;-1;48 м²;10 м²;+79895775807;Очаково-Матвеевское;Аминьевское шоссе;4Дк3литБ;Аминьевская;Вестердам
Метриум Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/305913232/;Москва;sale;flat;6;9;4;200.7;206000000;-1;-1;-1;-1;-1;-1;20 м²;+79169670709;Замоскворечье;Большая Татарская ;7к3;Новокузнецкая;Четыре солнца
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/285464681/;Москва;sale;flat;4;5;4;184.0;212501960;-1;-1;-1;-1;-1;128 м²;15 м²;+79670580817;Арбат;Большой Кисловский переулок;4С1;Библиотека им. Ленина;
Estes;real_estate_agent;https://www.cian.ru/sale/flat/308618379/;Москва;sale;flat;20;21;2;61.9;31000000;2023;-1;-1;-1;-1;29 м²;15,6 м²;+79645699101;Даниловский;бульвар Братьев Весниных;1;ЗИЛ;ЗИЛАРТ
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/299577441/;Москва;sale;flat;2;27;2;70.0;31880000;2019;-1;-1;-1;-1;-1;-1;+79652578351;Лефортово;проезд Невельского;6к3;Авиамоторная;Символ
Estes;real_estate_agent;https://www.cian.ru/sale/flat/307812448/;Москва;sale;flat;27;39;2;63.88;32990000;-1;-1;-1;-1;-1;9,4 м²;15,1 м²;+79653010887;Раменки; Лобачевского;120к1;Аминьевская;Крылья
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/293449159/;Москва;sale;flat;20;36;4;123.0;58700000;2023;-1;-1;-1;-1;91 м²;20 м²;+79104917094;Беговой;Ленинградский проспект;34А;Динамо;Комплекс апартаментов Alcon Tower
Славянский Двор Остоженка;real_estate_agent;https://www.cian.ru/sale/flat/296833235/;Москва;sale;flat;22;23;3;163.0;56000000;1999;-1;-1;-1;-1;-1;-1;+79167690757;Проспект Вернадского;Ленинский проспект;116К1;Новаторская;
RND;real_estate_agent;https://www.cian.ru/sale/flat/300367025/;Москва;sale;flat;9;12;3;102.2;110000000;2021;-1;-1;-1;-1;-1;39,6 м²;+79670309706;Раменки;проспект Генерала Дорохова;39к1Е;Минская;Собрание клубных домов West Garden
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299728876/;Москва;sale;flat;9;21;3;97.0;120000000;-1;-1;-1;-1;-1;67 м²;-1;+79623697268;Пресненский; Костикова;4к2;Улица 1905 года;Lucky
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308350583/;Москва;sale;flat;14;20;3;132.5;125000000;2010;-1;-1;-1;-1;69 м²;10 м²;+79060406184;Гагаринский; Косыгина;13к1;Воробьёвы горы;Фамильный дом Воробьево
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/296124514/;Москва;sale;flat;22;22;1;17.2;8780000;1980;-1;-1;-1;-1;13 м²;4 м²;+79651585220;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/308525825/;Москва;sale;flat;22;22;1;17.2;8780000;1980;-1;-1;-1;-1;9,2 м²;3 м²;+79031506327;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/305694039/;Москва;sale;flat;22;22;1;19.4;8880000;1980;-1;-1;-1;-1;14 м²;4 м²;+79150355249;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/308525823/;Москва;sale;flat;22;22;1;16.0;8880000;1980;-1;-1;-1;-1;8 м²;3 м²;+79031506327;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Ольга Медведева;realtor;https://www.cian.ru/sale/flat/308178641/;Москва;sale;flat;19;24;2;60.0;23200000;2023;-1;-1;-1;-1;27 м²;16,6 м²;+79652657413;Метрогородок;Тагильская ;2к1;Бульвар Рокоссовского;Сиреневый парк
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/304119233/;Москва;sale;flat;8;24;2;45.2;23300000;2023;-1;-1;-1;-1;24 м²;8 м²;+79099319939;Хорошево-Мневники;Шелепихинская набережная;40к2;Народное Ополчение;Sydney City
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/302295108/;Москва;sale;flat;10;46;2;58.5;39900000;-1;-1;-1;-1;-1;24 м²;22 м²;+79651883932;Даниловский;Дубининская ;59А;Павелецкая;Павелецкая Сити
НДВ;real_estate_agent;https://www.cian.ru/sale/flat/304590085/;Москва;sale;flat;4;11;3;80.0;41900000;-1;-1;-1;-1;-1;-1;35 м²;+79165727913;Свиблово;Лазоревый проезд;1;Ботанический сад;LIFE-Ботанический сад
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/304966057/;Москва;sale;flat;6;33;3;66.0;44800000;2023;-1;-1;-1;-1;40 м²;10 м²;+79104001266;Хорошево-Мневники;Причальный проезд;10А;Шелепиха;Level Причальный
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305078923/;Москва;sale;flat;9;14;3;104.0;78000000;-1;-1;-1;-1;-1;70 м²;14 м²;+79660621044;Дорогомилово;Большая Дорогомиловская ;4;Киевская;
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/300425289/;Москва;sale;flat;17;32;3;84.0;83000000;2024;-1;-1;-1;-1;60 м²;10 м²;+79896035005;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/302129499/;Москва;sale;flat;35;53;4;173.0;170000000;2012;-1;-1;-1;-1;-1;50 м²;+79639769503;Раменки;Мосфильмовская ;8;Поклонная;Дом на Мосфильмовской
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/300099418/;Москва;sale;flat;10;10;4;188.1;185000000;-1;-1;-1;-1;-1;110 м²;30,3 м²;+79852068600;Тверской;Страстной бульвар;10к1;Пушкинская;
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/293861271/;Москва;sale;flat;9;45;1;46.3;21000000;2024;-1;-1;-1;Чистовая;19 м²;15 м²;+79623682283;Хорошево-Мневники; Шеногина;;Шелепиха;Sydney City
Prime;real_estate_agent;https://www.cian.ru/sale/flat/306015204/;Москва;sale;flat;1;5;2;58.8;24400000;-1;-1;-1;-1;-1;-1;12 м²;+79660644026;Таганский;Таганская ;24С5;Марксистская;
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/303926631/;Москва;sale;flat;21;31;3;69.3;25400000;2023;-1;-1;-1;-1;-1;6,2 м²;+79031036432;Можайский; Петра Алексеева;14;Давыдково;КутузовGRAD II
Олеся Тотовицкая;realtor;https://www.cian.ru/sale/flat/308230875/;Москва;sale;flat;2;7;4;184.0;480000000;2019;-1;-1;-1;-1;96 м²;23 м²;+79197281912;Хамовники;Погодинская ;2;Киевская;Жизнь на Плющихе
МИЭЛЬ Офис Пречистенка;real_estate_agent;https://www.cian.ru/sale/flat/305868556/;Москва;sale;flat;4;8;1;40.5;9400000;2025;-1;-1;-1;Без отделки;17,4 м²;11,3 м²;+79852069754;;;5/2;Кедровая;Новые Ватутинки, мкр. Заречный
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/302464388/;Москва;sale;flat;9;21;2;86.0;55000000;2023;-1;-1;-1;Без отделки;58 м²;23 м²;+79099734492;Хорошево-Мневники; Нижние Мневники;9;Терехово ;Остров
СТ Тауэрс;developer;https://www.cian.ru/sale/flat/302833881/;Москва;sale;flat;41;66;4;210.7;180148500;2020;-1;Монолитный;-1;Без отделки, чистовая;-1;-1;+74951370624;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/307540412/;Москва;sale;flat;4;36;3;70.0;31000000;2024;-1;-1;-1;-1;30 м²;22 м²;+79652902316;Раменки; Василия Ланового;3;Аминьевская;Событие
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/302610652/;Москва;sale;flat;14;21;2;57.0;30900000;2010;-1;-1;-1;-1;-1;-1;+79645365786;Хорошево-Мневники;проспект Маршала Жукова;39к6;Народное Ополчение;Wellton park
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/299329856/;Москва;sale;flat;4;7;4;195.0;233269197;-1;-1;-1;-1;-1;-1;15 м²;+79670580817;Хамовники;Еропкинский переулок;16/23;Парк Культуры;Еропкинский 16
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/307588324/;Москва;sale;flat;11;22;3;98.6;29000000;2007;-1;-1;-1;-1;63,6 м²;17,2 м²;+79857048937;Левобережный;Ленинградское шоссе;130к3;Беломорская;
